state,year,value
Northeast,1935,21609000
Northeast,1936,23552000
Northeast,1937,21993000
Northeast,1938,23316000
Northeast,1939,27097000
Northeast,1940,31462000
Northeast,1941,32678000
Northeast,1942,39351000
Northeast,1943,43704000
Northeast,1944,51137000
Northeast,1945,58226000
Northeast,1946,50896000
Northeast,1947,51933000
Northeast,1948,50653000
Northeast,1949,51761000
Northeast,1950,55341000
Northeast,1951,58118000
Northeast,1952,59659000
Northeast,1953,59933000
Northeast,1954,62607000
Northeast,1955,65142000
Northeast,1956,66179000
Northeast,1957,67285000
Northeast,1958,71800000
Northeast,1959,71381000
Northeast,1960,76121000
Northeast,1961,82297000
Northeast,1962,85454000
Northeast,1963,88411000
Northeast,1964,99307000
Northeast,1965,107560000
Northeast,1966,113928137
Northeast,1967,129372488
Northeast,1968,140302764
Northeast,1969,138106239
Northeast,1970,151500952
Northeast,1971,164969978
Northeast,1972,186734912
Northeast,1973,202843974
Northeast,1974,225675545
Northeast,1975,223203260
Northeast,1976,228992048
Northeast,1977,253095411
Northeast,1978,413938832
Northeast,1979,458456542
Northeast,1980,501906230
Northeast,1981,516411368
Northeast,1982,545506991
Northeast,1983,579893800
Northeast,1984,620586983
Northeast,1985,679802798
Northeast,1986,756228078
Northeast,1987,783393229
Northeast,1988,811763452
Northeast,1989,834031756
Northeast,1990,830460434
Northeast,1991,826568949
Northeast,1992,820792084
Northeast,1993,839562454
Northeast,1994,861012417
Northeast,1995,907078248
Northeast,1996,986947584
Northeast,1997,1049090908
Northeast,1998,1066413345
Northeast,1999,1141642094
Northeast,2000,1227457570
Northeast,2001,1264153791
Northeast,2002,1338484742
Northeast,2003,1469020627
Northeast,2004,1222693833
Northeast,2005,1163519806
Northeast,2006,701923715
Northeast,2007,768674054
Northeast,2008,829678826
Northeast,2009,715977971
Northeast,2010,751523881
Northeast,2011,950776549
Northeast,2012,1056238920
Northeast,2013,1065765432
Northeast,2014,1143455054
Northeast,2015,1241157999
Northeast,2016,1224287199
Northeast,2017,1302191083
Northeast,2018,1356199514
Northeast,2019,1528084606
Northeast,2020,1915232710
Northeast,2021,2151339801
Northeast,2022,2246062990
Midwest,1935,11385000
Midwest,1936,13019000
Midwest,1937,12716000
Midwest,1938,13390000
Midwest,1939,14764000
Midwest,1940,16310000
Midwest,1941,18398000
Midwest,1942,23971000
Midwest,1943,29411000
Midwest,1944,35834000
Midwest,1945,41987000
Midwest,1946,40060000
Midwest,1947,42526000
Midwest,1948,42495000
Midwest,1949,43509000
Midwest,1950,46439000
Midwest,1951,48908000
Midwest,1952,51832000
Midwest,1953,53594000
Midwest,1954,55185000
Midwest,1955,56903000
Midwest,1956,58537000
Midwest,1957,59138000
Midwest,1958,62683000
Midwest,1959,63491000
Midwest,1960,65821000
Midwest,1961,70436000
Midwest,1962,75011000
Midwest,1963,78531000
Midwest,1964,87700000
Midwest,1965,95150000
Midwest,1966,101629093
Midwest,1967,113255228
Midwest,1968,124081914
Midwest,1969,125453233
Midwest,1970,136404900
Midwest,1971,152123328
Midwest,1972,171822930
Midwest,1973,189847448
Midwest,1974,206025209
Midwest,1975,217309130
Midwest,1976,233579301
Midwest,1977,259861917
Midwest,1978,304180502
Midwest,1979,328439503
Midwest,1980,349079359
Midwest,1981,376752256
Midwest,1982,398896307
Midwest,1983,433407300
Midwest,1984,445156294
Midwest,1985,474320671
Midwest,1986,505855011
Midwest,1987,523696601
Midwest,1988,544890723
Midwest,1989,567320539
Midwest,1990,598737501
Midwest,1991,610379759
Midwest,1992,622331329
Midwest,1993,633486904
Midwest,1994,655047104
Midwest,1995,686887567
Midwest,1996,713386702
Midwest,1997,795871037
Midwest,1998,857014252
Midwest,1999,878276099
Midwest,2000,981384113
Midwest,2001,1072280955
Midwest,2002,1163350207
Midwest,2003,1226812482
Midwest,2004,1863670052
Midwest,2005,2002536982
Midwest,2006,2207856395
Midwest,2007,2343117770
Midwest,2008,2696316061
Midwest,2009,2711443203
Midwest,2010,3104397452
Midwest,2011,4242838627
Midwest,2012,4509989107
Midwest,2013,4769816428
Midwest,2014,5030962951
Midwest,2015,5000735059
Midwest,2016,5389763650
Midwest,2017,5592819103
Midwest,2018,5685322643
Midwest,2019,5968795112
Midwest,2020,7250377801
Midwest,2021,7853069891
Midwest,2022,7668956816
South,1935,6081000
South,1936,7060000
South,1937,6891000
South,1938,7297000
South,1939,8106000
South,1940,8945000
South,1941,10683000
South,1942,14231000
South,1943,17511000
South,1944,22177000
South,1945,27230000
South,1946,26065000
South,1947,27147000
South,1948,27328000
South,1949,27689000
South,1950,30056000
South,1951,32719000
South,1952,34512000
South,1953,35618000
South,1954,37742000
South,1955,39617000
South,1956,41474000
South,1957,42372000
South,1958,45920000
South,1959,47268000
South,1960,49142000
South,1961,53204000
South,1962,56099000
South,1963,59848000
South,1964,67126000
South,1965,73575000
South,1966,78719261
South,1967,88142379
South,1968,98298385
South,1969,101800009
South,1970,113748734
South,1971,130241239
South,1972,152814847
South,1973,172340469
South,1974,186573192
South,1975,200809440
South,1976,219524224
South,1977,247170307
South,1978,281502928
South,1979,313236438
South,1980,345836389
South,1981,387485275
South,1982,433668439
South,1983,485122500
South,1984,536887954
South,1985,584363139
South,1986,630070749
South,1987,644050852
South,1988,675148845
South,1989,716906200
South,1990,755978322
South,1991,771962258
South,1992,787760627
South,1993,811825579
South,1994,874140542
South,1995,922226033
South,1996,959430700
South,1997,1053599793
South,1998,1177943282
South,1999,1391754442
South,2000,1479700608
South,2001,1505127131
South,2002,1587608198
South,2003,1665328937
South,2004,1994182255
South,2005,2319031541
South,2006,2493835129
South,2007,2724512813
South,2008,3051707503
South,2009,3393046973
South,2010,3125237838
South,2011,3273719151
South,2012,3576083125
South,2013,3608703761
South,2014,3711504436
South,2015,3958662675
South,2016,4137862414
South,2017,4290339716
South,2018,4442636778
South,2019,4602952498
South,2020,5627943991
South,2021,6180465496
South,2022,6010330489
West,1935,5048000
West,1936,5626000
West,1937,5582000
West,1938,5766000
West,1939,6105000
West,1940,6746000
West,1941,7649000
West,1942,10247000
West,1943,13469000
West,1944,16566000
West,1945,20330000
West,1946,19967000
West,1947,20246000
West,1948,20167000
West,1949,20182000
West,1950,21514000
West,1951,23252000
West,1952,25092000
West,1953,25683000
West,1954,27499000
West,1955,29011000
West,1956,29755000
West,1957,31060000
West,1958,34059000
West,1959,36315000
West,1960,37295000
West,1961,41220000
West,1962,44025000
West,1963,46944000
West,1964,50958000
West,1965,54005000
West,1966,57125313
West,1967,63304753
West,1968,69976104
West,1969,68778639
West,1970,77519634
West,1971,88368482
West,1972,101648763
West,1973,112325934
West,1974,123439303
West,1975,133887290
West,1976,142906285
West,1977,162537010
West,1978,230040477
West,1979,258103611
West,1980,279325084
West,1981,302426086
West,1982,321519891
West,1983,337038100
West,1984,352628868
West,1985,370685401
West,1986,381447638
West,1987,373090980
West,1988,387694206
West,1989,417115137
West,1990,447824437
West,1991,464101404
West,1992,451238950
West,1993,453048370
West,1994,464005124
West,1995,489727071
West,1996,515178831
West,1997,500587563
West,1998,553679788
West,1999,391824689
West,2000,460477777
West,2001,501740433
West,2002,561694241
West,2003,630921403
West,2004,469255315
West,2005,536349381
West,2006,1274838440
West,2007,1415143346
West,2008,1442845065
West,2009,1454643826
West,2010,1485180832
West,2011,739564055
West,2012,817419448
West,2013,889324245
West,2014,1002730317
West,2015,1102599599
West,2016,1182042884
West,2017,1229667202
West,2018,1357834948
West,2019,1454200786
West,2020,1814608032
West,2021,2140757187
West,2022,2126009564
